Strongs,Book,BkOrder,Chapter,Verse,ID_Str,String
H5375,Gen,1,31,10,H5375-1-31-10,"And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and, behold, the rams which leaped upon the cattle were ringstraked, speckled, and grisled. "
H5375,Gen,1,31,12,H5375-1-31-12,"And he said, Lift up now thine eyes, and see, all the rams which leap upon the cattle are ringstraked, speckled, and grisled: for I have seen all that Laban doeth unto thee."
H5375,Gen,1,31,17,H5375-1-31-17,"Then Jacob rose up, and set his sons and his wives upon camels; "
H3722,Gen,1,32,20,H3722-1-32-20,"And say ye moreover, Behold, thy servant Jacob is behind us. For he said, I will appease him with the present that goeth before me, and afterward I will see his face; peradventure he will accept of me. "
H5375,Gen,1,32,20,H5375-1-32-20,"And say ye moreover, Behold, thy servant Jacob is behind us. For he said, I will appease him with the present that goeth before me, and afterward I will see his face; peradventure he will accept of me. "
H5375,Gen,1,33,1,H5375-1-33-1,"And Jacob lifted up his eyes, and looked, and, behold, Esau came, and with him four hundred men. And he divided the children unto Leah, and unto Rachel, and unto the two handmaids. "
H5375,Gen,1,33,5,H5375-1-33-5,"And he lifted up his eyes, and saw the women and the children; and said, Who are those with thee? And he said, The children which God hath graciously given thy servant. "
H5375,Gen,1,36,7,H5375-1-36-7,For their riches were more than that they might dwell together; and the land wherein they were strangers could not bear them because of their cattle. 
H5375,Gen,1,37,25,H5375-1-37-25,"And they sat down to eat bread: and they lifted up their eyes and looked, and, behold, a company of Ishmeelites came from Gilead with their camels bearing spicery and balm and myrrh, going to carry it down to Egypt. "
H5375,Gen,1,39,7,H5375-1-39-7,"And it came to pass after these things, that his master's wife cast her eyes upon Joseph; and she said, Lie with me."
H5375,Gen,1,40,13,H5375-1-40-13,"Yet within three days shall Pharaoh lift up thine head, and restore thee unto thy place: and thou shalt deliver Pharaoh's cup into his hand, after the former manner when thou wast his butler. "
H5375,Gen,1,40,19,H5375-1-40-19,"Yet within three days shall Pharaoh lift up thy head from off thee, and shall hang thee on a tree; and the birds shall eat thy flesh from off thee."
H5375,Gen,1,40,20,H5375-1-40-20,"And it came to pass the third day, which was Pharaoh's birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants. "
H5375,Gen,1,42,26,H5375-1-42-26,"And they laded their asses with the corn, and departed thence."
H5375,Gen,1,43,29,H5375-1-43-29,"And he lifted up his eyes, and saw his brother Benjamin, his mother's son, and said, Is this your younger brother, of whom ye spake unto me? And he said, God be gracious unto thee, my son. "
H5375,Gen,1,43,34,H5375-1-43-34,"And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of theirs. And they drank, and were merry with him."
H5375,Gen,1,44,1,H5375-1-44-1,"And he commanded the steward of his house, saying, Fill the men's sacks with food, as much as they can carry, and put every man's money in his sack's mouth. "
H5375,Gen,1,45,19,H5375-1-45-19,"Now thou art commanded, this do ye; take you wagons out of the land of Egypt for your little ones, and for your wives, and bring your father, and come. "
H5375,Gen,1,45,23,H5375-1-45-23,"And to his father he sent after this manner; ten asses laden with the good things of Egypt, and ten she asses laden with corn and bread and meat for his father by the way. "
H5375,Gen,1,45,27,H5375-1-45-27,"And they told him all the words of Joseph, which he had said unto them: and when he saw the wagons which Joseph had sent to carry him, the spirit of Jacob their father revived: "
H5375,Gen,1,46,5,H5375-1-46-5,"And Jacob rose up from Beersheba: and the sons of Israel carried Jacob their father, and their little ones, and their wives, in the wagons which Pharaoh had sent to carry him."
H5375,Gen,1,47,30,H5375-1-47-30,"But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said. "
H5375,Gen,1,50,13,H5375-1-50-13,"For his sons carried him into the land of Canaan, and buried him in the cave of the field of Machpelah, which Abraham bought with the field for a possession of a buryingplace of Ephron the Hittite, before Mamre. "
H5375,Gen,1,50,17,H5375-1-50-17,"So shall ye say unto Joseph, Forgive, I pray thee now, the trespass of thy brethren, and their sin; for they did unto thee evil: and now, we pray thee, forgive the trespass of the servants of the God of thy father. And Joseph wept when they spake unto him."
H5375,Exo,2,6,8,H5375-2-6-8,"And I will bring you in unto the land, concerning the which I did swear to give it to Abraham, to Isaac, and to Jacob; and I will give it you for an heritage: I am the LORD. "
H5375,Exo,2,10,13,H5375-2-10-13,"And Moses stretched forth his rod over the land of Egypt, and the LORD brought an east wind upon the land all that day, and all that night; and when it was morning, the east wind brought the locusts. "
H5375,Exo,2,10,17,H5375-2-10-17,"Now therefore forgive, I pray thee, my sin only this once, and intreat the LORD your God, that he may take away from me this death only."
H5375,Exo,2,10,19,H5375-2-10-19,"And the LORD turned a mighty strong west wind, which took away the locusts, and cast them into the Red sea; there remained not one locust in all the coasts of Egypt. "
H5375,Exo,2,12,34,H5375-2-12-34,"And the people took their dough before it was leavened, their kneadingtroughs being bound up in their clothes upon their shoulders. "
H5375,Exo,2,14,10,H5375-2-14-10,"And when Pharaoh drew nigh, the children of Israel lifted up their eyes, and, behold, the Egyptians marched after them; and they were sore afraid: and the children of Israel cried out unto the LORD. "
H5375,Exo,2,18,22,H5375-2-18-22,"And let them judge the people at all seasons: and it shall be, that every great matter they shall bring unto thee, but every small matter they shall judge: so shall it be easier for thyself, and they shall bear the burden with thee."
H5375,Exo,2,19,4,H5375-2-19-4,"Ye have seen what I did unto the Egyptians, and how I bare you on eagles' wings, and brought you unto myself."
H5375,Exo,2,20,7,H5375-2-20-7,Thou shalt not take the name of the LORD thy God in vain; for the LORD will not hold him guiltless that taketh his name in vain. 
H5375,Exo,2,23,1,H5375-2-23-1,Thou shalt not raise a false report: put not thine hand with the wicked to be an unrighteous witness. 
H5375,Exo,2,23,21,H5375-2-23-21,"Beware of him, and obey his voice, provoke him not; for he will not pardon your transgressions: for my name is in him. "
H5375,Exo,2,25,14,H5375-2-25-14,"And thou shalt put the staves into the rings by the sides of the ark, that the ark may be borne with them."
H5375,Exo,2,25,27,H5375-2-25-27,Over against the border shall the rings be for places of the staves to bear the table. 
H5375,Exo,2,25,28,H5375-2-25-28,"And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them."
H5375,Exo,2,27,7,H5375-2-27-7,"And the staves shall be put into the rings, and the staves shall be upon the two sides of the altar, to bear it."
H5375,Exo,2,28,12,H5375-2-28-12,And thou shalt put the two stones upon the shoulders of the ephod for stones of memorial unto the children of Israel: and Aaron shall bear their names before the LORD upon his two shoulders for a memorial. 
H5375,Exo,2,28,29,H5375-2-28-29,"And Aaron shall bear the names of the children of Israel in the breastplate of judgment upon his heart, when he goeth in unto the holy place, for a memorial before the LORD continually. "
H5375,Exo,2,28,30,H5375-2-28-30,"And thou shalt put in the breastplate of judgment the Urim and the Thummim; and they shall be upon Aaron's heart, when he goeth in before the LORD: and Aaron shall bear the judgment of the children of Israel upon his heart before the LORD continually. "
H5375,Exo,2,28,38,H5375-2-28-38,"And it shall be upon Aaron's forehead, that Aaron may bear the iniquity of the holy things, which the children of Israel shall hallow in all their holy gifts; and it shall be always upon his forehead, that they may be accepted before the LORD. "
H5375,Exo,2,28,43,H5375-2-28-43,"And they shall be upon Aaron, and upon his sons, when they come in unto the tabernacle of the congregation, or when they come near unto the altar to minister in the holy place; that they bear not iniquity, and die: it shall be a statute for ever unto him and his seed after him."
H3722,Exo,2,29,33,H3722-2-29-33,"And they shall eat those things wherewith the atonement was made, to consecrate and to sanctify them: but a stranger shall not eat thereof, because they are holy. "
H3722,Exo,2,29,36,H3722-2-29-36,"And thou shalt offer every day a bullock for a sin offering for atonement: and thou shalt cleanse the altar, when thou hast made an atonement for it, and thou shalt anoint it, to sanctify it."
H3722,Exo,2,29,37,H3722-2-29-37,"Seven days thou shalt make an atonement for the altar, and sanctify it; and it shall be an altar most holy: whatsoever toucheth the altar shall be holy. "
H5375,Exo,2,30,4,H5375-2-30-4,"And two golden rings shalt thou make to it under the crown of it, by the two corners thereof, upon the two sides of it shalt thou make it; and they shall be for places for the staves to bear it withal. "
H3722,Exo,2,30,10,H3722-2-30-10,And Aaron shall make an atonement upon the horns of it once in a year with the blood of the sin offering of atonements: once in the year shall he make atonement upon it throughout your generations: it is most holy unto the LORD. 
H5375,Exo,2,30,12,H5375-2-30-12,"When thou takest the sum of the children of Israel after their number, then shall they give every man a ransom for his soul unto the LORD, when thou numberest them; that there be no plague among them, when thou numberest them."
H3722,1Sa,9,3,14,H3722-9-3-14,"And therefore I have sworn unto the house of Eli, that the iniquity of Eli's house shall not be purged with sacrifice nor offering for ever. "
H3722,2Sa,10,21,3,H3722-10-21-3,"Wherefore David said unto the Gibeonites, What shall I do for you? and wherewith shall I make the atonement, that ye may bless the inheritance of the LORD? "
H3722,1Ch,13,6,49,H3722-13-6-49,"But Aaron and his sons offered upon the altar of the burnt offering, and on the altar of incense, and were appointed for all the work of the place most holy, and to make an atonement for Israel, according to all that Moses the servant of God had commanded. "
H3722,2Ch,14,29,24,H3722-14-29-24,"And the priests killed them, and they made reconciliation with their blood upon the altar, to make an atonement for all Israel: for the king commanded that the burnt offering and the sin offering should be made for all Israel. "
H3722,2Ch,14,30,18,H3722-14-30-18,"For a multitude of the people, even many of Ephraim, and Manasseh, Issachar, and Zebulun, had not cleansed themselves, yet did they eat the passover otherwise than it was written. But Hezekiah prayed for them, saying, The good LORD pardon every one"
H3722,Neh,16,10,33,H3722-16-10-33,"For the shewbread, and for the continual meat offering, and for the continual burnt offering, of the sabbaths, of the new moons, for the set feasts, and for the holy things, and for the sin offerings to make an atonement for Israel, and for all the work of the house of our God. "
H3722,Psa,19,65,3,H3722-19-65-3,"Iniquities prevail against me: as for our transgressions, thou shalt purge them away. "
H3722,Psa,19,78,38,H3722-19-78-38,"But he, being full of compassion, forgave their iniquity, and destroyed them not: yea, many a time turned âž” he his anger away, and did not stir up all his wrath. "
H3722,Psa,19,79,9,H3722-19-79-9,"Help us, O God of our salvation, for the glory of thy name: and deliver us, and purge away our sins, for thy name's sake."
H3722,Pro,20,16,6,H3722-20-16-6,By mercy and truth iniquity is purged: and by the fear of the LORD men depart from evil. 
H3722,Pro,20,16,14,H3722-20-16-14,The wrath of a king is as messengers of death: but a wise man will pacify it.
H3722,Isa,23,6,7,H3722-23-6-7,"And he laid it upon my mouth, and said, Lo, this hath touched thy lips; and thine iniquity is taken away, and thy sin purged. "
H3722,Isa,23,22,14,H3722-23-22-14,"And it was revealed in mine ears by the LORD of hosts, Surely this iniquity shall not be purged from you till ye die, saith the Lord GOD of hosts. "
H3722,Isa,23,27,9,H3722-23-27-9,"By this therefore shall the iniquity of Jacob be purged; and this is all the fruit to take away his sin; when he maketh all the stones of the altar as chalkstones that are beaten in sunder, the groves and images shall not stand up. "
H3722,Isa,23,28,18,H3722-23-28-18,"And your covenant with death shall be disannulled, and your agreement with hell shall not stand; when the overflowing scourge shall pass through, then ye shall be trodden down by it."
H3722,Isa,23,47,11,H3722-23-47-11,"Therefore shall evil come upon thee; thou shalt not know from whence it riseth: and mischief shall fall upon thee; thou shalt not be able to put it off: and desolation shall come upon thee suddenly, which thou shalt not know. "
H3722,Jer,24,18,23,H3722-24-18-23,"Yet, LORD, thou knowest all their counsel against me to slay me: forgive not their iniquity, neither blot out their sin from thy sight, but let them be overthrown before thee; deal thus with them in the time of thine anger. "
H3722,Eze,26,16,63,H3722-26-16-63,"That thou mayest remember, and be confounded, and never open thy mouth any more because of thy shame, when I am pacified toward thee for all that thou hast done, saith the Lord GOD. "
H3722,Eze,26,43,20,H3722-26-43-20,"And thou shalt take of the blood thereof, and put it on the four horns of it, and on the four corners of the settle, and upon the border round about: thus shalt thou cleanse and purge it."
H3722,Eze,26,43,26,H3722-26-43-26,Seven days shall they purge the altar and purify it; and they shall consecrate themselves. 
H3722,Eze,26,45,15,H3722-26-45-15,"And one lamb out of the flock, out of two hundred, out of the fat pastures of Israel; for a meat offering, and for a burnt offering, and for peace offerings, to make reconciliation for them, saith the Lord GOD. "
H3722,Eze,26,45,17,H3722-26-45-17,"And it shall be the prince's part to give burnt offerings, and meat offerings, and drink offerings, in the feasts, and in the new moons, and in the sabbaths, in all solemnities of the house of Israel: he shall prepare the sin offering, and the meat offering, and the burnt offering, and the peace offerings, to make reconciliation for the house of Israel. "
H3722,Eze,26,45,20,H3722-26-45-20,"And so thou shalt do the seventh day of the month for every one that erreth, and for him that is simple: so shall ye reconcile the house. "
H3722,Dan,27,9,24,H3722-27-9-24,"Seventy weeks are determined upon thy people and upon thy holy city, to finish the transgression, and to make an end of sins, and to make reconciliation for iniquity, and to bring in everlasting righteousness, and to seal up the vision and prophecy, and to anoint the most Holy. "
H3722,Exo,2,30,15,H3722-2-30-15,"The rich shall not give more, and the poor shall not give less than half a shekel, when they give an offering unto the LORD, to make an atonement for your souls. "
H3722,Exo,2,30,16,H3722-2-30-16,"And thou shalt take the atonement money of the children of Israel, and shalt appoint it for the service of the tabernacle of the congregation; that it may be a memorial unto the children of Israel before the LORD, to make an atonement for your souls. "
H3722,Exo,2,32,30,H3722-2-32-30,"And it came to pass on the morrow, that Moses said unto the people, Ye have sinned a great sin: and now I will go up unto the LORD; peradventure I shall make an atonement for your sin. "
H5375,Exo,2,32,32,H5375-2-32-32,"Yet now, if thou wilt forgive their sinâ€”; and if not, blot me, I pray thee, out of thy book which thou hast written. "
H5375,Exo,2,34,7,H5375-2-34-7,"Keeping mercy for thousands, forgiving iniquity and transgression and sin, and that will by no means clear the guilty; visiting the iniquity of the fathers upon the children, and upon the children's children, unto the third and to the fourth generation."
H5545,Exo,2,34,9,H5545-2-34-9,"And he said, If now I have found grace in thy sight, O Lord, let my Lord, I pray thee, go among us; for it is a stiffnecked people; and pardon our iniquity and our sin, and take us for thine inheritance. "
H5375,Exo,2,35,21,H5375-2-35-21,"And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and they brought the LORD'S offering to the work of the tabernacle of the congregation, and for all his service, and for the holy garments. "
H5375,Exo,2,35,26,H5375-2-35-26,And all the women whose heart stirred them up in wisdom spun goats' hair.
H5375,Exo,2,36,2,H5375-2-36-2,"And Moses called Bezaleel and Aholiab, and every wise hearted man, in whose heart the LORD had put wisdom, even every one whose heart stirred him up to come unto the work to do it:"
H5375,Exo,2,37,5,H5375-2-37-5,"And he put the staves into the rings by the sides of the ark, to bear the ark. "
H5375,Exo,2,37,14,H5375-2-37-14,"Over against the border were the rings, the places for the staves to bear the table. "
H5375,Exo,2,37,15,H5375-2-37-15,"And he made the staves of shittim wood, and overlaid them with gold, to bear the table. "
H5375,Exo,2,37,27,H5375-2-37-27,"And he made two rings of gold for it under the crown thereof, by the two corners of it, upon the two sides thereof, to be places for the staves to bear it withal."
H5375,Exo,2,38,7,H5375-2-38-7,"And he put the staves into the rings on the sides of the altar, to bear it withal; he made the altar hollow with boards. "
H3722,Lev,3,1,4,H3722-3-1-4,And he shall put his hand upon the head of the burnt offering; and it shall be accepted for him to make atonement for him.
H3722,Lev,3,4,20,H3722-3-4-20,"And he shall do with the bullock as he did with the bullock for a sin offering, so shall he do with this: and the priest shall make an atonement for them, and it shall be forgiven them."
H5545,Lev,3,4,20,H5545-3-4-20,"And he shall do with the bullock as he did with the bullock for a sin offering, so shall he do with this: and the priest shall make an atonement for them, and it shall be forgiven them."
H3722,Lev,3,4,26,H3722-3-4-26,"And he shall burn all his fat upon the altar, as the fat of the sacrifice of peace offerings: and the priest shall make an atonement for him as concerning his sin, and it shall be forgiven him."
H5545,Lev,3,4,26,H5545-3-4-26,"And he shall burn all his fat upon the altar, as the fat of the sacrifice of peace offerings: and the priest shall make an atonement for him as concerning his sin, and it shall be forgiven him."
H3722,Lev,3,4,31,H3722-3-4-31,"And he shall take away all the fat thereof, as the fat is taken away from off the sacrifice of peace offerings; and the priest shall burn it upon the altar for a sweet savour unto the LORD; and the priest shall make an atonement for him, and it shall be forgiven him."
H5545,Lev,3,4,31,H5545-3-4-31,"And he shall take away all the fat thereof, as the fat is taken away from off the sacrifice of peace offerings; and the priest shall burn it upon the altar for a sweet savour unto the LORD; and the priest shall make an atonement for him, and it shall be forgiven him."
H3722,Lev,3,4,35,H3722-3-4-35,"And he shall take away all the fat thereof, as the fat of the lamb is taken away from the sacrifice of the peace offerings; and the priest shall burn them upon the altar, according to the offerings made by fire unto the LORD: and the priest shall make an atonement for his sin that he hath committed, and it shall be forgiven him."
H5545,Lev,3,4,35,H5545-3-4-35,"And he shall take away all the fat thereof, as the fat of the lamb is taken away from the sacrifice of the peace offerings; and the priest shall burn them upon the altar, according to the offerings made by fire unto the LORD: and the priest shall make an atonement for his sin that he hath committed, and it shall be forgiven him."
H5375,Lev,3,5,1,H5375-3-5-1,"And if a soul sin, and hear the voice of swearing, and is a witness, whether he hath seen or known of it; if he do not utter it, then he shall bear his iniquity. "
H3722,Lev,3,5,6,H3722-3-5-6,"And he shall bring his trespass offering unto the LORD for his sin which he hath sinned, a female from the flock, a lamb or a kid of the goats, for a sin offering; and the priest shall make an atonement for him concerning his sin. "
H3722,Lev,3,5,10,H3722-3-5-10,"And he shall offer the second for a burnt offering, according to the manner: and the priest shall make an atonement for him for his sin which he hath sinned, and it shall be forgiven him."
H5545,Lev,3,5,10,H5545-3-5-10,"And he shall offer the second for a burnt offering, according to the manner: and the priest shall make an atonement for him for his sin which he hath sinned, and it shall be forgiven him."
H3722,Lev,3,5,13,H3722-3-5-13,"And the priest shall make an atonement for him as touching his sin that he hath sinned in one of these, and it shall be forgiven him: and the remnant shall be the priest's, as a meat offering. "
H5545,Lev,3,5,13,H5545-3-5-13,"And the priest shall make an atonement for him as touching his sin that he hath sinned in one of these, and it shall be forgiven him: and the remnant shall be the priest's, as a meat offering. "
H3722,Lev,3,5,16,H3722-3-5-16,"And he shall make amends for the harm that he hath done in the holy thing, and shall add the fifth part thereto, and give it unto the priest: and the priest shall make an atonement for him with the ram of the trespass offering, and it shall be forgiven him."
H5545,Lev,3,5,16,H5545-3-5-16,"And he shall make amends for the harm that he hath done in the holy thing, and shall add the fifth part thereto, and give it unto the priest: and the priest shall make an atonement for him with the ram of the trespass offering, and it shall be forgiven him."
H5375,Lev,3,5,17,H5375-3-5-17,"And if a soul sin, and commit any of these things which are forbidden to be done by the commandments of the LORD; though he wist it not, yet is he guilty, and shall bear his iniquity. "
H3722,Lev,3,5,18,H3722-3-5-18,"And he shall bring a ram without blemish out of the flock, with thy estimation, for a trespass offering, unto the priest: and the priest shall make an atonement for him concerning his ignorance wherein he erred and wist it not, and it shall be forgiven him."
H5545,Lev,3,5,18,H5545-3-5-18,"And he shall bring a ram without blemish out of the flock, with thy estimation, for a trespass offering, unto the priest: and the priest shall make an atonement for him concerning his ignorance wherein he erred and wist it not, and it shall be forgiven him."
H3722,Lev,3,6,7,H3722-3-6-7,And the priest shall make an atonement for him before the LORD: and it shall be forgiven him for any thing of all that he hath done in trespassing therein.
H5545,Lev,3,6,7,H5545-3-6-7,And the priest shall make an atonement for him before the LORD: and it shall be forgiven him for any thing of all that he hath done in trespassing therein.
H3722,Lev,3,6,30,H3722-3-6-30,"And no sin offering, whereof any of the blood is brought into the tabernacle of the congregation to reconcile withal in the holy place, shall be eaten: it shall be burnt in the fire. "
H3722,Lev,3,7,7,H3722-3-7-7,"As the sin offering is, so is the trespass offering: there is one law for them: the priest that maketh atonement therewith shall have it."
H5375,Lev,3,7,18,H5375-3-7-18,"And if any of the flesh of the sacrifice of his peace offerings be eaten at all on the third day, it shall not be accepted, neither shall it be imputed unto him that offereth it: it shall be an abomination, and the soul that eateth of it shall bear his iniquity. "
H3722,Lev,3,8,15,H3722-3-8-15,"And he slew it; and Moses took the blood, and put it upon the horns of the altar round about with his finger, and purified the altar, and poured the blood at the bottom of the altar, and sanctified it, to make reconciliation upon it."
H3722,Lev,3,8,34,H3722-3-8-34,"As he hath done this day, so the LORD hath commanded to do, to make an atonement for you."
H3722,Lev,3,9,7,H3722-3-9-7,"And Moses said unto Aaron, Go unto the altar, and offer thy sin offering, and thy burnt offering, and make an atonement for thyself, and for the people: and offer the offering of the people, and make an atonement for them; as the LORD commanded. "
H5375,Lev,3,9,22,H5375-3-9-22,"And Aaron lifted up his hand toward the people, and blessed them, and came down from offering of the sin offering, and the burnt offering, and peace offerings. "
H5375,Lev,3,10,4,H5375-3-10-4,"And Moses called Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron, and said unto them, Come near, carry your brethren from before the sanctuary out of the camp. "
H5375,Lev,3,10,5,H5375-3-10-5,"So they went near, and carried them in their coats out of the camp; as Moses had said. "
H3722,Lev,3,10,17,H3722-3-10-17,"Wherefore have ye not eaten the sin offering in the holy place, seeing it is most holy, and God hath given it you to bear the iniquity of the congregation, to make atonement for them before the LORD? "
H5375,Lev,3,10,17,H5375-3-10-17,"Wherefore have ye not eaten the sin offering in the holy place, seeing it is most holy, and God hath given it you to bear the iniquity of the congregation, to make atonement for them before the LORD? "
H5375,Lev,3,11,25,H5375-3-11-25,"And whosoever beareth ought of the carcase of them shall wash his clothes, and be unclean until the even. "
H5375,Lev,3,11,28,H5375-3-11-28,"And he that beareth the carcase of them shall wash his clothes, and be unclean until the even: they are unclean unto you."
H5375,Lev,3,11,40,H5375-3-11-40,"And he that eateth of the carcase of it shall wash his clothes, and be unclean until the even: he also that beareth the carcase of it shall wash his clothes, and be unclean until the even. "
H3722,Lev,3,12,7,H3722-3-12-7,"Who shall offer it before the LORD, and make an atonement for her; and she shall be cleansed from the issue of her blood. This is the law for her that hath born a male or a female. "
H3722,Lev,3,12,8,H3722-3-12-8,"And if she be not able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt offering, and the other for a sin offering: and the priest shall make an atonement for her, and she shall be clean. "
H3722,Lev,3,14,18,H3722-3-14-18,And the remnant of the oil that is in the priest's hand he shall pour upon the head of him that is to be cleansed: and the priest shall make an atonement for him before the LORD. 
H3722,Lev,3,14,19,H3722-3-14-19,"And the priest shall offer the sin offering, and make an atonement for him that is to be cleansed from his uncleanness; and afterward he shall kill the burnt offering: "
H3722,Lev,3,14,20,H3722-3-14-20,"And the priest shall offer the burnt offering and the meat offering upon the altar: and the priest shall make an atonement for him, and he shall be clean. "
H3722,Lev,3,14,21,H3722-3-14-21,"And if he be poor, and cannot get so much; then he shall take one lamb for a trespass offering to be waved, to make an atonement for him, and one tenth deal of fine flour mingled with oil for a meat offering, and a log of oil; "
H3722,Lev,3,14,29,H3722-3-14-29,"And the rest of the oil that is in the priest's hand he shall put upon the head of him that is to be cleansed, to make an atonement for him before the LORD. "
H3722,Lev,3,14,31,H3722-3-14-31,"Even such as he is able to get, the one for a sin offering, and the other for a burnt offering, with the meat offering: and the priest shall make an atonement for him that is to be cleansed before the LORD. "
H3722,Lev,3,14,53,H3722-3-14-53,"But he shall let go the living bird out of the city into the open fields, and make an atonement for the house: and it shall be clean. "
H5375,Lev,3,15,10,H5375-3-15-10,"And whosoever toucheth any thing that was under him shall be unclean until the even: and he that beareth any of those things shall wash his clothes, and bathe himself in water, and be unclean until the even. "
H3722,Lev,3,15,15,H3722-3-15-15,"And the priest shall offer them, the one for a sin offering, and the other for a burnt offering; and the priest shall make an atonement for him before the LORD for his issue. "
H3722,Lev,3,15,30,H3722-3-15-30,"And the priest shall offer the one for a sin offering, and the other for a burnt offering; and the priest shall make an atonement for her before the LORD for the issue of her uncleanness. "
H3722,Lev,3,16,6,H3722-3-16-6,"And Aaron shall offer his bullock of the sin offering, which is for himself, and make an atonement for himself, and for his house. "
H3722,Lev,3,16,10,H3722-3-16-10,"But the goat, on which the lot fell to be the scapegoat, shall be presented alive before the LORD, to make an atonement with him, and to let him go for a scapegoat into the wilderness. "
H3722,Lev,3,16,11,H3722-3-16-11,"And Aaron shall bring the bullock of the sin offering, which is for himself, and shall make an atonement for himself, and for his house, and shall kill the bullock of the sin offering which is for himself:"
H3722,Lev,3,16,16,H3722-3-16-16,"And he shall make an atonement for the holy place, because of the uncleanness of the children of Israel, and because of their transgressions in all their sins: and so shall he do for the tabernacle of the congregation, that remaineth among them in the midst of their uncleanness. "
H3722,Lev,3,16,17,H3722-3-16-17,"And there shall be no man in the tabernacle of the congregation when he goeth in to make an atonement in the holy place, until he come out, and have made an atonement for himself, and for his household, and for all the congregation of Israel. "
H3722,Lev,3,16,18,H3722-3-16-18,"And he shall go out unto the altar that is before the LORD, and make an atonement for it; and shall take of the blood of the bullock, and of the blood of the goat, and put it upon the horns of the altar round about. "
H3722,Lev,3,16,20,H3722-3-16-20,"And when he hath made an end of reconciling the holy place, and the tabernacle of the congregation, and the altar, he shall bring the live goat: "
H5375,Lev,3,16,22,H5375-3-16-22,And the goat shall bear upon him all their iniquities unto a land not inhabited: and he shall let go the goat in the wilderness. 
H3722,Lev,3,16,24,H3722-3-16-24,"And he shall wash his flesh with water in the holy place, and put on his garments, and come forth, and offer his burnt offering, and the burnt offering of the people, and make an atonement for himself, and for the people. "
